Title,Genre,Rank,Year,Rating,Metascore,PG-Rating,Categories
PK,"Comedy,Drama,Romance",766,2014,8.2,51.0,TV-14,"Comedies, Dramas, International Movies"
Indiana Jones and the Kingdom of the Crystal Skull,"Action,Adventure,Fantasy",768,2008,6.2,65.0,PG-13,"Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy"
Lady in the Water,"Drama,Fantasy,Mystery",774,2006,5.6,36.0,PG-13,"Sci-Fi & Fantasy, Thrillers"
Zack and Miri Make a Porno,"Comedy,Romance",793,2008,6.6,56.0,R,"Comedies, Independent Movies, Romantic Movies"
Yoga Hosers,"Comedy,Fantasy,Horror",801,2016,4.3,23.0,PG-13,"Comedies, Horror Movies, Independent Movies"
The Spectacular Now,"Comedy,Drama,Romance",808,2013,7.1,82.0,R,"Dramas, Independent Movies, Romantic Movies"
USS Indianapolis: Men of Courage,"Action,Drama,History",810,2016,5.2,30.0,R,Action & Adventure
Suite Française,"Drama,Romance,War",821,2014,6.9,,TV-MA,"Dramas, International Movies, Romantic Movies"
The Imaginarium of Doctor Parnassus,"Adventure,Fantasy,Mystery",822,2009,6.8,65.0,PG-13,"Action & Adventure, Sci-Fi & Fantasy"
Christine,"Biography,Drama",824,2016,7.0,72.0,R,"Dramas, Independent Movies"
You Don't Mess with the Zohan,"Action,Comedy",838,2008,5.5,54.0,UR,"Action & Adventure, Comedies"
The Princess and the Frog,"Animation,Adventure,Comedy",844,2009,7.1,73.0,G,Children & Family Movies
Mean Dreams,Thriller,849,2016,6.3,64.0,R,"Dramas, Independent Movies, Thrillers"
21,"Crime,Drama,Thriller",851,2008,6.8,48.0,PG-13,Dramas
Terminator Salvation,"Action,Adventure,Drama",857,2009,6.6,49.0,PG-13,"Action & Adventure, Sci-Fi & Fantasy"
Locke,Drama,864,2013,7.1,81.0,R,"Dramas, Independent Movies"
Horns,"Drama,Fantasy,Horror",866,2013,6.5,46.0,R,"Dramas, Horror Movies, Sci-Fi & Fantasy"
The Stanford Prison Experiment,"Biography,Drama,History",868,2015,6.9,67.0,R,"Dramas, Independent Movies, Thrillers"
One Day,"Drama,Romance",874,2011,7.0,48.0,PG-13,"Dramas, Romantic Movies"
Blue Jasmine,Drama,878,2013,7.3,78.0,PG-13,"Comedies, Dramas, Independent Movies"
Saving Mr. Banks,"Biography,Comedy,Drama",882,2013,7.5,65.0,PG-13,"Comedies, Dramas"
Transcendence,"Drama,Mystery,Romance",883,2014,6.3,42.0,PG-13,"Sci-Fi & Fantasy, Thrillers"
Equals,"Drama,Romance,Sci-Fi",885,2015,6.1,43.0,PG-13,"Dramas, Romantic Movies, Sci-Fi & Fantasy"
Babel,Drama,886,2006,7.5,69.0,R,"Dramas, Independent Movies"
50/50,"Comedy,Drama,Romance",890,2011,7.7,72.0,R,"Comedies, Dramas, Independent Movies"
The Intent,"Crime,Drama",891,2016,3.5,59.0,TV-MA,"Dramas, International Movies, Thrillers"
The Ugly Truth,"Comedy,Romance",899,2009,6.5,28.0,R,"Comedies, Romantic Movies"
Sleeping with Other People,"Comedy,Drama,Romance",901,2015,6.5,64.0,R,"Comedies, Dramas, Independent Movies"
Ocean's Thirteen,"Crime,Thriller",908,2007,6.9,62.0,PG-13,"Action & Adventure, Comedies"
I Am the Pretty Thing That Lives in the House,Thriller,912,2016,4.7,68.0,TV-14,"Horror Movies, International Movies, Thrillers"
Superman Returns,"Action,Adventure,Sci-Fi",925,2006,6.1,72.0,PG-13,"Action & Adventure, Sci-Fi & Fantasy"
The Sea of Trees,Drama,928,2015,5.9,23.0,PG-13,Dramas
Good Kids,Comedy,929,2016,6.1,86.0,R,"Comedies, Independent Movies"
The Master,Drama,930,2012,7.1,,R,"Dramas, Independent Movies"
Detour,Thriller,934,2016,6.3,46.0,R,Thrillers
The Siege of Jadotville,"Action,Drama,Thriller",939,2016,7.3,83.0,TV-MA,"Action & Adventure, Dramas, International Movies"
Up in the Air,"Drama,Romance",940,2009,7.4,,R,"Comedies, Dramas, Romantic Movies"
Legion,"Action,Fantasy,Horror",957,2010,5.2,32.0,R,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy"
End of Watch,"Crime,Drama,Thriller",958,2012,7.7,68.0,R,Action & Adventure
Into the Forest,"Drama,Sci-Fi,Thriller",962,2015,5.9,59.0,R,"Dramas, International Movies, Sci-Fi & Fantasy"
Dark Places,"Drama,Mystery,Thriller",977,2015,6.2,39.0,R,"Dramas, International Movies, Thrillers"
Across the Universe,"Drama,Fantasy,Musical",983,2007,7.4,56.0,PG-13,"Dramas, Music & Musicals, Romantic Movies"
Taare Zameen Par,"Drama,Family,Music",992,2007,8.5,42.0,PG,"Dramas, International Movies"
Take Me Home Tonight,"Comedy,Drama,Romance",993,2011,6.3,,R,"Comedies, Romantic Movies"
Resident Evil: Afterlife,"Action,Adventure,Horror",994,2010,5.9,37.0,R,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy"
Secret in Their Eyes,"Crime,Drama,Mystery",996,2015,6.2,45.0,PG-13,"Dramas, Thrillers"
